City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Monrovia,6.3005,-10.7969,78.76,79,6,3.89,LR,1733102989
140,Tingo María,-9.2895,-76.0088,70.02,97,89,2.95,PE,1733103187
141,Dudinka,69.4058,86.1778,14.76,91,100,21.97,RU,1733103188
142,Vorgashor,67.5833,63.95,13.1,94,100,17.43,RU,1733103190
143,Gisborne,-38.6533,178.0042,68.88,68,71,10.94,NZ,1733103191
144,Khalkhāl,37.6189,48.5258,27.63,87,79,5.08,IR,1733103192
145,Spring,30.0799,-95.4172,58.89,67,0,6.91,US,1733103193
146,Shahrak,34.1074,64.3052,27.91,59,2,3.18,AF,1733103194
147,Lebu,-37.6167,-73.65,52.65,87,18,12.21,CL,1733103197
148,Kourou,5.1552,-52.6478,75.83,93,23,5.75,GF,1733103005
149,Garachiko,28.7781,-17.7646,66.31,68,75,8.05,ES,1733103199
150,Ixtapa,20.7,-105.2,76.23,78,0,8.05,MX,1733103200
151,Pāthardi,19.1667,75.1833,70.88,52,100,6.49,IN,1733103202
152,Hecun,36.5333,114.1111,40.84,36,11,10.6,CN,1733103203
153,Penzance,50.1186,-5.5371,50.68,75,9,26.24,GB,1733103204
154,Mili,6.0815,171.735,81.93,80,100,14.16,MH,1733103205
155,Mahibadhoo,3.7833,72.9667,82.9,74,15,17.83,MV,1733103208
156,Siuna,13.7332,-84.7773,72.72,98,100,4.65,NI,1733103209
157,Saipan,15.1355,145.701,88.5,80,40,16.11,MP,1733103210
158,Sikasso,10.9167,-7.0,67.41,27,7,3.87,ML,1733103212
159,Mount Isa,-20.7333,139.5,94.77,49,40,13.8,AU,1733103213
160,Puerto Baquerizo Moreno,-0.9,-89.6,70.79,86,81,11.56,EC,1733103214
161,Hasaki,35.7333,140.8333,59.85,63,91,14.88,JP,1733103215
162,Otra Banda,18.6502,-68.6628,72.48,91,0,2.75,DO,1733103216
163,Plettenberg Bay,-34.0527,23.3716,60.24,83,47,5.14,ZA,1733103217
164,Abū al Maţāmīr,30.9102,30.1744,53.62,89,38,1.83,EG,1733103219
165,Ålesund,62.4723,6.1549,46.76,82,75,12.66,NO,1733103220
166,Iskateley,67.6803,53.1512,23.95,93,98,13.78,RU,1733103221
167,Lysekil,58.2743,11.4358,45.03,90,98,3.0,SE,1733103222
168,Klamath Falls,42.2249,-121.7817,29.88,99,100,0.0,US,1733103224
169,Mossamedes,-15.1961,12.1522,68.38,82,95,6.11,AO,1733103226
170,Invercargill,-46.4,168.35,66.02,69,100,5.01,NZ,1733103227
171,Bontang,0.1333,117.5,83.05,71,66,1.01,ID,1733103228
172,Aral,40.5156,81.2636,30.85,45,91,0.4,CN,1733103230
173,Saint-Philippe,-21.3585,55.7679,74.84,83,87,9.84,RE,1733103231
174,Tazacorte,28.629,-17.9293,68.97,80,75,8.05,ES,1733103232
175,Beledweyne,4.7358,45.2036,74.28,58,61,11.27,SO,1733103233
176,Nemuro,43.3236,145.575,39.43,54,19,5.1,JP,1733103234
177,Bridlington,54.0831,-0.1919,51.73,64,37,5.01,GB,1733103235
178,Coquimbo,-29.9533,-71.3436,58.73,79,0,6.91,CL,1733102942
179,Toliara,-23.35,43.6667,73.29,74,0,12.21,MG,1733103238
180,Labrador City,52.9463,-66.9114,21.11,85,100,14.97,CA,1733103239
181,Villa Gesell,-37.2639,-56.973,58.03,76,0,21.68,AR,1733103241
182,Yarmouth,41.7057,-70.2286,32.97,60,0,14.0,US,1733103213
183,Itaituba,-4.2761,-55.9836,84.29,51,100,1.25,BR,1733103243
184,Papatowai,-46.5619,169.4708,62.37,61,100,8.75,NZ,1733103244
185,Anadyr,64.75,177.4833,21.7,93,100,13.42,RU,1733103245
186,Salym,60.0625,71.4789,19.94,93,100,8.57,RU,1733103246
187,Rawai,7.7797,98.3253,84.97,83,100,9.75,TH,1733103248
188,Poretskoye,55.1974,46.3291,33.51,89,100,10.25,RU,1733103249
189,San Sebastián de La Gomera,28.0916,-17.1133,70.16,68,0,1.14,ES,1733103250
190,Tarnogskiy Gorodok,60.4997,43.5761,35.64,98,100,8.84,RU,1733103251
191,Whangarei,-35.7317,174.3239,74.68,47,21,7.36,NZ,1733103252
192,Ulsteinvik,62.3432,5.8487,46.76,89,100,4.0,NO,1733103254
193,Flin Flon,54.7682,-101.865,-1.8,99,26,3.09,CA,1733103107
194,Mar del Plata,-38.0023,-57.5575,55.94,86,0,8.01,AR,1733103007
195,Nikolayevsk-on-Amur,53.1406,140.73,20.3,93,83,4.9,RU,1733103257
196,Kumul,42.8,93.45,28.27,64,98,4.45,CN,1733103259
197,St. John's,47.5649,-52.7093,35.15,86,20,11.5,CA,1733103260
198,Choyr,46.3611,108.3611,12.13,28,5,6.85,MN,1733103261
